iter	Passed	Remaining
1437	8431	3295
1438	8438	3289
1439	8444	3284
1440	8452	3278
1441	8457	3272
1442	8464	3267
1443	8469	3261
1444	8474	3255
1445	8482	3249
1446	8487	3243
1447	8492	3237
1448	8499	3232
1449	8504	3225
1450	8510	3220
1451	8516	3214
1452	8522	3208
1453	8528	3202
1454	8534	3196
1455	8539	3190
1456	8546	3185
1457	8552	3179
1458	8558	3173
1459	8565	3167
1460	8571	3162
1461	8577	3156
1462	8583	3150
1463	8588	3144
1464	8595	3138
1465	8600	3132
1466	8605	3126
1467	8612	3121
1468	8618	3115
1469	8623	3109
1470	8630	3103
1471	8635	3097
1472	8642	3091
1473	8648	3086
1474	8653	3080
1475	8660	3074
1476	8666	3068
1477	8671	3062
1478	8679	3057
1479	8684	3051
1480	8692	3046
1481	8698	3040
1482	8703	3034
1483	8710	3028
1484	8715	3022
1485	8720	3016
1486	8727	3010
1487	8732	3004
1488	8737	2998
1489	8745	2993
1490	8750	2987
1491	8756	2981
1492	8762	2975
1493	8768	2969
1494	8774	2964
1495	8780	2958
1496	8786	2952
1497	8792	2946
1498	8798	2940
1499	8803	2934
1500	8810	2928
1501	8816	2923
1502	8822	2917
1503	8827	2911
1504	8832	2904
1505	8838	2899
1506	8845	2893
1507	8851	2887
1508	8858	2882
1509	8864	2876
1510	8870	2870
1511	8877	2865
1512	8882	2859
1513	8889	2853
1514	8894	2847
1515	8900	2841
1516	8906	2835
1517	8912	2829
1518	8917	2823
1519	8923	2818
1520	8928	2811
1521	8934	2805
1522	8940	2800
1523	8947	2794
1524	8953	2788
1525	8960	2783
1526	8965	2777
1527	8972	2771
1528	8978	2765
1529	8984	2759
1530	8990	2754
1531	8995	2748
1532	9001	2742
1533	9007	2736
1534	9012	2730
1535	9019	2724
1536	9024	2718
1537	9030	2712
1538	9036	2706
1539	9042	2701
1540	9047	2694
1541	9054	2689
1542	9059	2683
1543	9065	2677
1544	9072	2671
1545	9079	2666
1546	9085	2660
1547	9092	2654
1548	9097	2648
1549	9103	2643
1550	9109	2637
1551	9114	2630
1552	9121	2625
1553	9126	2619
1554	9131	2613
1555	9138	2607
1556	9143	2601
1557	9150	2595
1558	9156	2590
1559	9162	2584
1560	9168	2578
1561	9174	2572
1562	9179	2566
1563	9186	2560
1564	9192	2555
1565	9197	2549
1566	9205	2543
1567	9210	2537
1568	9217	2531
1569	9223	2526
1570	9228	2520
1571	9235	2514
1572	9241	2508
1573	9247	2502
1574	9253	2497
1575	9259	2491
1576	9266	2485
1577	9273	2479
1578	9279	2474
1579	9286	2468
1580	9291	2462
1581	9297	2456
1582	9304	2450
1583	9309	2444
1584	9316	2439
1585	9322	2433
1586	9328	2427
1587	9334	2421
1588	9340	2415
1589	9345	2409
1590	9351	2404
1591	9357	2398
1592	9363	2392
1593	9370	2386
1594	9376	2380
1595	9385	2375
1596	9390	2369
1597	9396	2363
1598	9402	2358
1599	9408	2352
1600	9415	2346
1601	9422	2341
1602	9429	2335
1603	9435	2329
1604	9441	2323
1605	9448	2318
1606	9454	2312
1607	9460	2306
1608	9466	2300
1609	9473	2294
1610	9481	2289
1611	9486	2283
1612	9491	2277
1613	9498	2271
1614	9504	2265
1615	9510	2259
1616	9517	2254
1617	9522	2248
1618	9529	2242
1619	9535	2236
1620	9540	2230
1621	9546	2224
1622	9553	2219
1623	9559	2213
1624	9566	2207
1625	9571	2201
1626	9577	2195
1627	9583	2189
1628	9588	2183
1629	9594	2177
1630	9600	2172
1631	9606	2166
1632	9613	2160
1633	9618	2154
1634	9624	2148
1635	9630	2142
1636	9637	2137
1637	9644	2131
1638	9650	2125
1639	9659	2120
1640	9665	2114
1641	9671	2108
1642	9678	2102
1643	9683	2097
1644	9689	2091
1645	9696	2085
1646	9701	2079
1647	9707	2073
1648	9713	2067
1649	9719	2061
1650	9726	2056
1651	9732	2050
1652	9736	2044
1653	9743	2038
1654	9748	2032
1655	9753	2026
1656	9760	2020
1657	9766	2014
1658	9771	2008
1659	9778	2002
1660	9783	1996
1661	9789	1990
1662	9795	1985
1663	9801	1979
1664	9807	1973
1665	9812	1967
1666	9817	1961
1667	9824	1955
1668	9831	1949
1669	9836	1943
1670	9844	1938
1671	9849	1932
1672	9855	1926
1673	9861	1920
1674	9867	1914
1675	9873	1908
1676	9879	1902
1677	9885	1896
1678	9893	1891
1679	9899	1885
